Time;SP_500;Gold;Vix;RF;P1_risk;P1_Currency
08.01.04 00:00;1131.33;423.875;15.5;0.87;27.98003148;2.400546533
09.01.04 00:00;1121.95;426.375;16.225;0.87;28.04186231;2.411936282
12.01.04 00:00;1127.45;424.45;17.125;0.88;28.88119706;2.405776544
13.01.04 00:00;1121.13;424.15;17.43;0.86;28.83133451;2.411349856
14.01.04 00:00;1130.3;419.95;16.85;0.85;29.0136046;2.389750012
15.01.04 00:00;1131.94;408.875;16.4;0.82;29.19161051;2.374119434
16.01.04 00:00;1139.56;406.75;15.17;0.8;29.00660378;2.346835511
20.01.04 00:00;1138.83;412.85;15.61;0.8;28.77546177;2.370821932
21.01.04 00:00;1147.35;410.55;14.93;0.82;29.53103021;2.382282219
22.01.04 00:00;1144;409.35;14.44;0.74;29.61773974;2.396391392
23.01.04 00:00;1141.2;408.075;14.805;0.79;29.59088284;2.372658035
26.01.04 00:00;1155.2;404.05;15.15;0.82;31.33617994;2.356880893
27.01.04 00:00;1144.07;410.35;15.09;0.89;30.79506438;2.384753743
28.01.04 00:00;1128.66;410.35;16.175;0.89;31.75158453;2.35934482
29.01.04 00:00;1133.83;399.35;17.225;0.87;31.79137533;2.347213562
30.01.04 00:00;1131.07;402.45;16.955;0.85;32.68983162;2.357923074
02.02.04 00:00;1134.99;398.35;17.115;0.87;32.57837579;2.347234914
03.02.04 00:00;1135.82;399.65;17.475;0.93;32.70297026;2.368480129
04.02.04 00:00;1126.42;400.75;17.76;0.91;32.77476234;2.364653481
05.02.04 00:00;1128.66;396.95;17.795;0.89;33.44752722;2.366550275
06.02.04 00:00;1142.6;403.35;16.825;0.89;35.02423402;2.393344402
09.02.04 00:00;1139.59;406.75;16.47;0.89;33.51113655;2.399090319
10.02.04 00:00;1145.23;406.35;16.3;0.91;33.40958833;2.399011864
11.02.04 00:00;1157.43;411.15;15.71;0.89;33.84652114;2.425349894
12.02.04 00:00;1151.97;411.85;15.475;0.9;34.19440779;2.423107833
13.02.04 00:00;1145.93;410.15;15.445;0.9;32.85176814;2.416172373
17.02.04 00:00;1156.93;415.55;15.64;0.9;33.1271689;2.439193852
18.02.04 00:00;1151.74;410.95;15.53;0.93;32.94297852;2.412613453
19.02.04 00:00;1147.04;409.975;15.585;0.93;33.85439058;2.415818482
20.02.04 00:00;1144.29;397.55;16.185;0.93;33.57276451;2.375398436
23.02.04 00:00;1140.81;398.65;16.515;0.95;34.17821039;2.378060807
