DATE,DTWEXB
2016-08-17,120.0677
2016-08-18,119.4345
2016-08-19,119.9713
2016-08-22,120.1747
2016-08-23,120.1091
2016-08-24,120.5087
2016-08-25,120.3619
2016-08-26,120.3984
2016-08-29,121.0955
2016-08-30,121.5227
2016-08-31,121.6413
2016-09-01,121.4332
2016-09-02,121.2748
2016-09-05,.
2016-09-06,120.1989
2016-09-07,120.1645
2016-09-08,120.4685
2016-09-09,121.2349
2016-09-12,121.4151
2016-09-13,121.7848
2016-09-14,121.7257
2016-09-15,121.7361
2016-09-16,122.4351
2016-09-19,122.1252
2016-09-20,122.4048
2016-09-21,122.1856
2016-09-22,121.4565
2016-09-23,121.9079
2016-09-26,121.9081
2016-09-27,121.7247
2016-09-28,121.8023
2016-09-29,121.4643
2016-09-30,121.4603
2016-10-03,121.6635
2016-10-04,121.8132
2016-10-05,121.9580
2016-10-06,122.1535
2016-10-07,122.4076
2016-10-10,.
2016-10-11,122.6162
2016-10-12,122.9258
2016-10-13,122.8240
2016-10-14,122.9188
2016-10-17,122.7704
2016-10-18,122.3485
2016-10-19,122.2391
2016-10-20,122.5976
2016-10-21,123.1193
2016-10-24,123.0687
2016-10-25,122.8784
2016-10-26,123.0318
2016-10-27,123.4502
2016-10-28,123.3353
2016-10-31,123.2681
2016-11-01,123.2373
2016-11-02,123.1869
2016-11-03,123.0433
2016-11-04,122.8671
2016-11-07,122.8248
2016-11-08,122.5817
2016-11-09,124.0367
2016-11-10,125.3837
2016-11-11,.
2016-11-14,126.7651
2016-11-15,126.2991
2016-11-16,126.3701
2016-11-17,126.4467
2016-11-18,127.1632
2016-11-21,127.0723
2016-11-22,127.0238
2016-11-23,127.6878
2016-11-24,.
2016-11-25,127.6565
2016-11-28,127.3420
2016-11-29,127.2640
2016-11-30,127.3708
2016-12-01,127.2995
2016-12-02,126.9500
2016-12-05,126.7366
2016-12-06,126.5483
2016-12-07,126.2650
2016-12-08,126.6265
2016-12-09,126.9306
2016-12-12,126.5512
2016-12-13,126.4263
2016-12-14,126.3792
2016-12-15,128.4846
2016-12-16,128.0708
2016-12-19,128.0721
2016-12-20,128.3122
2016-12-21,128.2467
2016-12-22,128.4999
2016-12-23,128.4363
2016-12-26,.
2016-12-27,128.6137
2016-12-28,128.8985
2016-12-29,128.3186
2016-12-30,128.0244
2017-01-02,.
2017-01-03,128.7853
2017-01-04,128.5670
2017-01-05,127.6114
2017-01-06,128.0132
2017-01-09,128.0790
2017-01-10,128.1848
2017-01-11,128.6924
2017-01-12,127.3720
2017-01-13,127.5822
2017-01-16,.
2017-01-17,126.8053
2017-01-18,127.2478
2017-01-19,127.8988
2017-01-20,.
2017-01-23,126.7810
2017-01-24,126.5987
2017-01-25,126.5297
2017-01-26,126.8767
2017-01-27,126.6659
2017-01-30,126.2927
2017-01-31,125.7822
2017-02-01,125.9575
2017-02-02,125.4230
2017-02-03,125.1046
2017-02-06,125.5157
2017-02-07,125.9211
2017-02-08,125.6333
2017-02-09,125.8037
2017-02-10,125.6500
2017-02-13,125.8473
2017-02-14,125.8527
2017-02-15,125.6742
2017-02-16,125.4514
2017-02-17,125.8702
2017-02-20,.
2017-02-21,126.0674
2017-02-22,125.6608
2017-02-23,125.0737
2017-02-24,125.2382
2017-02-27,125.0993
2017-02-28,125.4198
2017-03-01,125.8647
2017-03-02,126.2855
2017-03-03,126.0855
2017-03-06,125.8659
2017-03-07,125.8591
2017-03-08,126.3278
2017-03-09,126.4668
2017-03-10,126.0703
2017-03-13,125.8620
2017-03-14,126.0326
2017-03-15,125.8140
2017-03-16,124.9171
2017-03-17,124.6840
2017-03-20,124.4271
2017-03-21,124.1971
2017-03-22,124.1651
2017-03-23,124.1663
2017-03-24,123.9862
2017-03-27,123.5663
2017-03-28,123.7610
2017-03-29,124.0562
2017-03-30,123.8737
2017-03-31,124.1531
2017-04-03,124.2095
2017-04-04,124.3467
2017-04-05,124.3168
2017-04-06,124.3997
2017-04-07,124.4357
2017-04-10,124.5036
2017-04-11,124.3984
2017-04-12,124.2899
2017-04-13,123.8570
2017-04-14,123.8791
2017-04-17,123.6684
2017-04-18,123.6227
2017-04-19,124.1856
2017-04-20,124.0044
2017-04-21,124.1956
2017-04-24,123.7341
2017-04-25,123.8850
2017-04-26,124.3631
2017-04-27,124.4177
2017-04-28,124.2064
2017-05-01,124.0023
2017-05-02,124.0839
2017-05-03,124.0783
2017-05-04,124.3476
2017-05-05,124.2295
2017-05-08,124.5458
2017-05-09,124.8652
2017-05-10,124.5648
2017-05-11,124.4978
2017-05-12,124.1594
2017-05-15,123.7426
2017-05-16,123.3816
2017-05-17,123.1351
2017-05-18,123.6967
2017-05-19,123.0955
2017-05-22,122.9317
2017-05-23,123.0886
2017-05-24,123.0711
2017-05-25,122.7311
2017-05-26,122.7950
2017-05-29,.
2017-05-30,122.8874
2017-05-31,122.5761
2017-06-01,122.5743
2017-06-02,122.4672
2017-06-05,122.2344
2017-06-06,121.9461
2017-06-07,122.0681
2017-06-08,122.0925
2017-06-09,122.1926
2017-06-12,122.2110
2017-06-13,121.8719
2017-06-14,121.2941
2017-06-15,122.1408
2017-06-16,121.8914
2017-06-19,122.0528
2017-06-20,122.5867
2017-06-21,122.6599
2017-06-22,122.4912
2017-06-23,122.1850
2017-06-26,122.0816
